filename;author;title;style;genre;date
9640.jpg;40f86d376acde0d9862ce7493745bdae;Remorse, or Sphinx Embedded in the Sand;Surrealism;symbolic painting;1931
8110.jpg;40f86d376acde0d9862ce7493745bdae;The Ghost of Vermeer van Delft which Can Be Used as a Table;Surrealism;symbolic painting;1934
71361.jpg;40f86d376acde0d9862ce7493745bdae;The Enigma of Hitler;Surrealism;symbolic painting;1938
100057.jpg;40f86d376acde0d9862ce7493745bdae;Desoxyribonucleic Acid Arabs;Symbolism;landscape;c.1963
29802.jpg;40f86d376acde0d9862ce7493745bdae;Hyperxiological Sky;Surrealism;cloudscape;1960
12176.jpg;40f86d376acde0d9862ce7493745bdae;Ordinary French Loaf with Two Fried Eggs;Surrealism;still life;
99120.jpg;40f86d376acde0d9862ce7493745bdae;To Meli;Surrealism;genre painting;1974
9057.jpg;40f86d376acde0d9862ce7493745bdae;Anthropomorphic Bread;Surrealism;still life;1932
50785.jpg;40f86d376acde0d9862ce7493745bdae;Transparent Horse;Surrealism;animal painting;1952
47381.jpg;40f86d376acde0d9862ce7493745bdae;The Towers;Surrealism;landscape;1981
47399.jpg;40f86d376acde0d9862ce7493745bdae;San Salvador and Antonio Gaudi Fighting for the Crown of the Virgin;Surrealism;genre painting;1960
91623.jpg;40f86d376acde0d9862ce7493745bdae;Athens Is Burning! The School of Athens and the Fire in the Borgo;Surrealism;genre painting;1980
91770.jpg;40f86d376acde0d9862ce7493745bdae;Symbiotic Woman-Animal;Surrealism;landscape;1928
35184.jpg;40f86d376acde0d9862ce7493745bdae;Christ of St. John of the Cross;Surrealism;religious painting;1951
19651.jpg;40f86d376acde0d9862ce7493745bdae;The Patio of Port Lligat;Post-Impressionism;landscape;1968
37207.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Gala with Two Lamb Chops Balanced on Her Shoulder;Surrealism;portrait;1933
62767.jpg;40f86d376acde0d9862ce7493745bdae;Cubist Figure;Cubism;figurative;1926
58865.jpg;40f86d376acde0d9862ce7493745bdae;The Great Masturbator;Surrealism;symbolic painting;1929
50755.jpg;40f86d376acde0d9862ce7493745bdae;The Ram (The Spectral Cow);Surrealism;animal painting;1928
102567.jpg;40f86d376acde0d9862ce7493745bdae;Dali at the Age of Six When He Thought He Was a Girl Lifting the Skin of the Water to See the Dog Sleeping in the Shade of the Sea;Surrealism;self-portrait;1950
14958.jpg;40f86d376acde0d9862ce7493745bdae;Cardinal, Cardinal;Surrealism;symbolic painting;1934
39588.jpg;40f86d376acde0d9862ce7493745bdae;The Phantom Wagon;Surrealism;landscape;1933
35989.jpg;40f86d376acde0d9862ce7493745bdae;The Persistence of Memory;Surrealism;symbolic painting;1931
34316.jpg;40f86d376acde0d9862ce7493745bdae;Woman Sleeping in a Landscape;Surrealism;landscape;1931
92753.jpg;40f86d376acde0d9862ce7493745bdae;Figure and Drapery in a Landscape;Surrealism;landscape;c.1934
31701.jpg;40f86d376acde0d9862ce7493745bdae;Hercules Lifts the Skin of the Sea and Stops Venus for an Instant from Waking Love;Surrealism;mythological painting;1963
16340.jpg;40f86d376acde0d9862ce7493745bdae;Apparition of Face and Fruit Dish on a Beach;Surrealism;landscape;1938
77699.jpg;40f86d376acde0d9862ce7493745bdae;Don Quixote and the Windmills;Surrealism;literary painting;1945
97768.jpg;40f86d376acde0d9862ce7493745bdae;Christ in Perspective;Surrealism;sketch and study;1950
83680.jpg;40f86d376acde0d9862ce7493745bdae;Port Lligat at Sunset;Surrealism;landscape;1959
98566.jpg;40f86d376acde0d9862ce7493745bdae;Figure Inspired by the Adam of the Ceiling of the Sistine Chapel;Surrealism;religious painting;1982
9763.jpg;40f86d376acde0d9862ce7493745bdae;The Swallow's Tail;Surrealism;figurative;1983
45611.jpg;40f86d376acde0d9862ce7493745bdae;Spider Of The Evening;Surrealism;landscape;1940
43053.jpg;40f86d376acde0d9862ce7493745bdae;Hannibal crossing the Aps;Surrealism;landscape;
95588.jpg;40f86d376acde0d9862ce7493745bdae;The Transparent Simulacrum of the Feigned Image;Surrealism;landscape;1938
74408.jpg;40f86d376acde0d9862ce7493745bdae;The Endless Enigma;Surrealism;symbolic painting;1938
41690.jpg;40f86d376acde0d9862ce7493745bdae;Diurnal Fantasies;Surrealism;landscape;1932
48730.jpg;40f86d376acde0d9862ce7493745bdae;Partial Hallucination: Six Apparitions of Lenin on a Piano;Surrealism;symbolic painting;1931
21598.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Frau. Isabel Styler-Tas;Surrealism;portrait;1945
45989.jpg;40f86d376acde0d9862ce7493745bdae;Melancholy Atomic;Surrealism;symbolic painting;
41417.jpg;40f86d376acde0d9862ce7493745bdae;Mediumnistic-Paranoiac Image;Surrealism;symbolic painting;1935
71742.jpg;40f86d376acde0d9862ce7493745bdae;Necrophiliac Fountain Flowing from a Grand Piano;Surrealism;landscape;1933
58446.jpg;40f86d376acde0d9862ce7493745bdae;"Study for ""Honey is Sweeter than Blood""";Surrealism;landscape;1926
81044.jpg;40f86d376acde0d9862ce7493745bdae;St. Helena of Port Lligat;Surrealism;religious painting;1956
20632.jpg;40f86d376acde0d9862ce7493745bdae;Atavism at Twilight;Surrealism;genre painting;1934
68213.jpg;40f86d376acde0d9862ce7493745bdae;Galacidalacidesoxyribonucleicacid;Surrealism;symbolic painting;1963
14765.jpg;40f86d376acde0d9862ce7493745bdae;Cutlet and Match;Surrealism;figurative;1983
16279.jpg;40f86d376acde0d9862ce7493745bdae;Shirley Temple;Surrealism;portrait;1939
83139.jpg;40f86d376acde0d9862ce7493745bdae;Rhinocerotic Figure of Phidias' Illisos;Surrealism;symbolic painting;1954
48319.jpg;40f86d376acde0d9862ce7493745bdae;The Mountains of Cape Creus on the March;Surrealism;landscape;
101261.jpg;40f86d376acde0d9862ce7493745bdae;Topological Contortion of a Female Figure Becoming a Violoncello;Surrealism;figurative;1983
97610.jpg;40f86d376acde0d9862ce7493745bdae;Feather Equilibrium (Interatomic Balance of a Swans Feather);Surrealism;still life;1947
49782.jpg;40f86d376acde0d9862ce7493745bdae;Fountain of Milk Spreading Itself Uselessly on Three Shoes;Surrealism;landscape;1945
50844.jpg;40f86d376acde0d9862ce7493745bdae;Suburbs of a Paranoiac Critical Town, Afternoon on the Outskirts of European History;Surrealism;cityscape;1936
74477.jpg;40f86d376acde0d9862ce7493745bdae;The Sublime Moment;Surrealism;symbolic painting;1938
97595.jpg;40f86d376acde0d9862ce7493745bdae;Bed and Two Bedside Tables Ferociously Attacking a Cello (Final Stage);Surrealism;interior;1983
91750.jpg;40f86d376acde0d9862ce7493745bdae;Invisible Bust of Voltaire;Surrealism;symbolic painting;1941
72476.jpg;40f86d376acde0d9862ce7493745bdae;Agnostic Symbol;Surrealism;symbolic painting;1932
3945.jpg;40f86d376acde0d9862ce7493745bdae;Equestrian Portrait of Carmen Bordiu-Franco;Surrealism;portrait;1974
15585.jpg;40f86d376acde0d9862ce7493745bdae;The Disintegration of the Persistence of Memory;Surrealism;landscape;
91505.jpg;40f86d376acde0d9862ce7493745bdae;Philosopher Illuminated by the Light of the Moon and the Setting Sun;Surrealism;portrait;1939
74345.jpg;40f86d376acde0d9862ce7493745bdae;Female Bather;Surrealism;nude painting (nu);1928
62181.jpg;40f86d376acde0d9862ce7493745bdae;The Elephants (Large);Surrealism;landscape;1948
73172.jpg;40f86d376acde0d9862ce7493745bdae;Invisible  Sleeping Woman, Horse, Lion;Surrealism;landscape;1930
86278.jpg;40f86d376acde0d9862ce7493745bdae;The Birth of Liquid Desires;Surrealism;symbolic painting;1932
49218.jpg;40f86d376acde0d9862ce7493745bdae;Mad Tristan;Surrealism;symbolic painting;c.1939
90185.jpg;40f86d376acde0d9862ce7493745bdae;The Face of War;Surrealism;allegorical painting;1941
7977.jpg;40f86d376acde0d9862ce7493745bdae;Debris of an Automobile Giving Birth to a Blind Horse Biting a Telephone;Surrealism;figurative;1938
45973.jpg;40f86d376acde0d9862ce7493745bdae;Honey is Sweeter than Blood;Surrealism;nude painting (nu);1941
89976.jpg;40f86d376acde0d9862ce7493745bdae;The Way to Pubol;Surrealism;landscape;1973
74180.jpg;40f86d376acde0d9862ce7493745bdae;Noon (Barracks of Port Lligat);Post-Impressionism;genre painting;1956
76730.jpg;40f86d376acde0d9862ce7493745bdae;The Chair;Surrealism;figurative;1975
7501.jpg;40f86d376acde0d9862ce7493745bdae;The Three Glorious Enigmas of Gala(second version);Surrealism;symbolic painting;1982
50556.jpg;40f86d376acde0d9862ce7493745bdae;Apparition of the Town of Delft;Surrealism;landscape;1936
101097.jpg;40f86d376acde0d9862ce7493745bdae;Puzzle of Autumn;Surrealism;landscape;1935
48277.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of My Dead Brother;Surrealism;portrait;1963
15341.jpg;40f86d376acde0d9862ce7493745bdae;Pieta;Surrealism;religious painting;1982
88319.jpg;40f86d376acde0d9862ce7493745bdae;The Dream;Surrealism;allegorical painting;1931
60407.jpg;40f86d376acde0d9862ce7493745bdae;Dali from the Back Painting Gala from the Back Eternalized by Six Virtual Corneas Provisionally Reflected in Six Real Mirrors;Surrealism;portrait;1973
83617.jpg;40f86d376acde0d9862ce7493745bdae;Swallow;Surrealism;animal painting;1957
71931.jpg;40f86d376acde0d9862ce7493745bdae;Autumnal Cannibalism;Surrealism;symbolic painting;1936
16248.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Gala (Gala Against the Light);Surrealism;portrait;1965
52378.jpg;40f86d376acde0d9862ce7493745bdae;The Servant of the Disciples at Emmaus;Expressionism;genre painting;1960
19059.jpg;40f86d376acde0d9862ce7493745bdae;The Paranoiac-Critical Study of Vermeer's Lacemaker;Surrealism;sketch and study;1955
90581.jpg;40f86d376acde0d9862ce7493745bdae;The Sistine Madonna;Surrealism;religious painting;1958
44236.jpg;40f86d376acde0d9862ce7493745bdae;Arab;Symbolism;figurative;1962
48887.jpg;40f86d376acde0d9862ce7493745bdae;Bulgarian Child Eating a Rat;Surrealism;symbolic painting;1939
81036.jpg;40f86d376acde0d9862ce7493745bdae;My Wife, Nude, Contemplating Her Own Flesh Becoming Stairs, Three Vertebrae of a Column, Sky and Architecture;Surrealism;portrait;1945
35199.jpg;40f86d376acde0d9862ce7493745bdae;Enigmatic Elements in the Landscape;Surrealism;landscape;1934
91231.jpg;40f86d376acde0d9862ce7493745bdae;The Tower;Surrealism;landscape;1934
85077.jpg;40f86d376acde0d9862ce7493745bdae;Surrealist Poster;Surrealism;poster;1934
84250.jpg;40f86d376acde0d9862ce7493745bdae;Unsatisfied Desires;Surrealism;landscape;1928
23172.jpg;40f86d376acde0d9862ce7493745bdae;Surrealist Object Gauge of Instantaneous Memory;Surrealism;landscape;1932
60179.jpg;40f86d376acde0d9862ce7493745bdae;The Angelus of Gala;Surrealism;portrait;1935
100500.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Laurence Olivier in the Role of Richard III;Surrealism;portrait;1955
10336.jpg;40f86d376acde0d9862ce7493745bdae;Javanese Mannequin;Surrealism;symbolic painting;1934
82812.jpg;40f86d376acde0d9862ce7493745bdae;Reclining girl in sheep;Surrealism;genre painting;
78429.jpg;40f86d376acde0d9862ce7493745bdae;Hermes;Surrealism;mythological painting;1981
7643.jpg;40f86d376acde0d9862ce7493745bdae;Soft Self-Portrait with Fried Bacon;Surrealism;self-portrait;1941
3258.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Picasso;Surrealism;portrait;1947
24618.jpg;40f86d376acde0d9862ce7493745bdae;The Architectonic Angelus of Millet;Surrealism;symbolic painting;1933
43170.jpg;40f86d376acde0d9862ce7493745bdae;Baby Map of the World;Surrealism;symbolic painting;1939
84935.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Gala with Rhinocerotic Symptoms;Surrealism;portrait;1954
21500.jpg;40f86d376acde0d9862ce7493745bdae;Inaugural Gooseflesh;Surrealism;symbolic painting;1928
53716.jpg;40f86d376acde0d9862ce7493745bdae;Ambivalent Image;Surrealism;landscape;1933
39560.jpg;40f86d376acde0d9862ce7493745bdae;The Bleeding Roses;Surrealism;nude painting (nu);1930
70232.jpg;40f86d376acde0d9862ce7493745bdae;Cover of 'Minotaure' Magazine;Surrealism;illustration;1936
27075.jpg;40f86d376acde0d9862ce7493745bdae;Masochistic Instrument;Surrealism;symbolic painting;c.1934
22178.jpg;40f86d376acde0d9862ce7493745bdae;The Triangular Hour;Surrealism;landscape;1933
72007.jpg;40f86d376acde0d9862ce7493745bdae;Gala and The Angelus of Millet Before the Imminent Arrival of the Conical Anamorphoses;Surrealism;symbolic painting;1933
21636.jpg;40f86d376acde0d9862ce7493745bdae;Morning Ossification of the Cypress;Surrealism;symbolic painting;1934
69164.jpg;40f86d376acde0d9862ce7493745bdae;The Invisible Harp;Surrealism;symbolic painting;1934
3084.jpg;40f86d376acde0d9862ce7493745bdae;Rhinocerotic Gooseflesh;Surrealism;symbolic painting;1956
9562.jpg;40f86d376acde0d9862ce7493745bdae;The First Study for the Madonna of Port Lligat;Surrealism;religious painting;1949
42453.jpg;40f86d376acde0d9862ce7493745bdae;Resurrection of the Flesh;Surrealism;symbolic painting;c.1945
97930.jpg;40f86d376acde0d9862ce7493745bdae;Flaming Giraffe;Surrealism;symbolic painting;
30196.jpg;40f86d376acde0d9862ce7493745bdae;The Horseman of Death;Surrealism;allegorical painting;1935
72540.jpg;40f86d376acde0d9862ce7493745bdae;Dream Caused by the Flight of a Bee around a Pomegranate. One Second before Awakening;Surrealism;symbolic painting;1944
68306.jpg;40f86d376acde0d9862ce7493745bdae;"Crucifixion (Dedication; For Gala Queen of the Divine DalH)";Surrealism;religious painting;1965
95362.jpg;40f86d376acde0d9862ce7493745bdae;Velazquez Dying Behind the Window on the Left Side Out of Which a Spoon Projects;Surrealism;portrait;1982
47943.jpg;40f86d376acde0d9862ce7493745bdae;Harlequin;Surrealism;portrait;1927
94555.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Mr. Emilio Terry (unfinished);Surrealism;portrait;1930
100192.jpg;40f86d376acde0d9862ce7493745bdae;"The True Painting of the ""Isle of the Dead"" by Arnold Böcklin at the Hour of the Angelus";Surrealism;landscape;1932
21737.jpg;40f86d376acde0d9862ce7493745bdae;The Alert;Surrealism;landscape;1938
84001.jpg;40f86d376acde0d9862ce7493745bdae;Lada Atomica;Surrealism;nude painting (nu);1949
12809.jpg;40f86d376acde0d9862ce7493745bdae;Car Clothing (Clothed Automobile);Surrealism;still life;1941
10506.jpg;40f86d376acde0d9862ce7493745bdae;Raphaelesque Head Exploding;Surrealism;portrait;1951
75153.jpg;40f86d376acde0d9862ce7493745bdae;Study of a Female Nude;Expressionism;sketch and study;c.1962
95058.jpg;40f86d376acde0d9862ce7493745bdae;Gala Contemplating the Mediterranean Sea Which at Eighteen Metres Becomes the Portrait of Abraham Lincoln;Surrealism;nude painting (nu);1976
71205.jpg;40f86d376acde0d9862ce7493745bdae;The Enchanted Beach;Surrealism;symbolic painting;
37914.jpg;40f86d376acde0d9862ce7493745bdae;Port of Cadaques (Night);Post-Impressionism;marina;c.1918
43020.jpg;40f86d376acde0d9862ce7493745bdae;Melancholy;Surrealism;symbolic painting;1942
2040.jpg;40f86d376acde0d9862ce7493745bdae;Cannibalism of the Objects;Surrealism;symbolic painting;1937
68053.jpg;40f86d376acde0d9862ce7493745bdae;The Vase of Cornflowers;Realism;flower painting;1959
80301.jpg;40f86d376acde0d9862ce7493745bdae;Tower;Surrealism;landscape;1981
12351.jpg;40f86d376acde0d9862ce7493745bdae;Woman with a Head of Roses;Surrealism;symbolic painting;1935
81046.jpg;40f86d376acde0d9862ce7493745bdae;Profanation of the Host;Surrealism;symbolic painting;1929
70546.jpg;40f86d376acde0d9862ce7493745bdae;Galatea of the Spheres;Surrealism;portrait;1932
24684.jpg;40f86d376acde0d9862ce7493745bdae;Nuclear Cross;Surrealism;symbolic painting;1952
53164.jpg;40f86d376acde0d9862ce7493745bdae;Young Virgin Auto-Sodomized by the Horns of Her Own Chastity;Surrealism;symbolic painting;1954
64837.jpg;40f86d376acde0d9862ce7493745bdae;Phosphene of Laporte;Surrealism;symbolic painting;1932
5848.jpg;40f86d376acde0d9862ce7493745bdae;The Royal Heart;Surrealism;design;
19082.jpg;40f86d376acde0d9862ce7493745bdae;Saint Surrounded by Three Pi-Mesons;Surrealism;figurative;1956
90150.jpg;40f86d376acde0d9862ce7493745bdae;The Pearl;Surrealism;symbolic painting;1981
25974.jpg;40f86d376acde0d9862ce7493745bdae;The Prince of Sleep (El principe de ensueno);Surrealism;portrait;1979
92276.jpg;40f86d376acde0d9862ce7493745bdae;Pieta;Symbolism;religious painting;1982
50108.jpg;40f86d376acde0d9862ce7493745bdae;Persistence of Fair Weather;Surrealism;landscape;c.1934
24870.jpg;40f86d376acde0d9862ce7493745bdae;Overture in Trompe l'Oeil;Surrealism;interior;c.1972
28997.jpg;40f86d376acde0d9862ce7493745bdae;Spain;Surrealism;landscape;1938
44198.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Gala;Surrealism;portrait;1931
20941.jpg;40f86d376acde0d9862ce7493745bdae;Venus and Sailor (Homage to Salvat-Papasseit);Expressionism;mythological painting;1925
39547.jpg;40f86d376acde0d9862ce7493745bdae;The Path of Enigmas (second version);Surrealism;landscape;1981
89916.jpg;40f86d376acde0d9862ce7493745bdae;Phantasmagoria;Surrealism;symbolic painting;c.1930
36716.jpg;40f86d376acde0d9862ce7493745bdae;Velázquez Painting the Infanta Margarita with the Lights and Shadows of His Own Glory;Surrealism;genre painting;1958
78709.jpg;40f86d376acde0d9862ce7493745bdae;The Meeting of the Illusion and the Arrested Moment;Surrealism;symbolic painting;1932
85015.jpg;40f86d376acde0d9862ce7493745bdae;Angel;Symbolism;religious painting;c.1958
57540.jpg;40f86d376acde0d9862ce7493745bdae;Assumpta Corpuscularia Lapislazulina;Surrealism;religious painting;1952
37448.jpg;40f86d376acde0d9862ce7493745bdae;Face of Mae West Which May Be Used as an Apartment;Surrealism;interior;c.1935
22503.jpg;40f86d376acde0d9862ce7493745bdae;Archeological Reminiscence Millet's Angelus;Surrealism;landscape;1935
43907.jpg;40f86d376acde0d9862ce7493745bdae;The Daughter of the West Wind;Surrealism;symbolic painting;1972
18042.jpg;40f86d376acde0d9862ce7493745bdae;Armchair with Landscape Painted for Gala's Chateau at Pubol;Surrealism;interior;c.1974
13684.jpg;40f86d376acde0d9862ce7493745bdae;The Invisible Man;Surrealism;symbolic painting;1933
89805.jpg;40f86d376acde0d9862ce7493745bdae;The Discovery of America by Christopher Columbus;Surrealism;history painting;1959
99344.jpg;40f86d376acde0d9862ce7493745bdae;Space Elephant;Surrealism;symbolic painting;
7883.jpg;40f86d376acde0d9862ce7493745bdae;Venus and Sailor;Expressionism;mythological painting;1925
5449.jpg;40f86d376acde0d9862ce7493745bdae;Surrealist Knight for a Four-part Screen;Surrealism;genre painting;c.1934
57723.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of My Father;Post-Impressionism;portrait;1921
88619.jpg;40f86d376acde0d9862ce7493745bdae;Nude in a Landscape;Pointillism;nude painting (nu);c.1923
48124.jpg;40f86d376acde0d9862ce7493745bdae;Figure with Drawers for a Four-part Screen;Surrealism;sketch and study;c.1934
86458.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of My Father;Expressionism;portrait;1925
30019.jpg;40f86d376acde0d9862ce7493745bdae;Untitled (The Lady of Avignon);Surrealism;figurative;c.1960
18154.jpg;40f86d376acde0d9862ce7493745bdae;Figure at a Table (Portrait of My Sister);Post-Impressionism;portrait;1925
94297.jpg;40f86d376acde0d9862ce7493745bdae;Untitled;Surrealism;design;1942
75016.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Anna  Maria;Expressionism;portrait;1925
68554.jpg;40f86d376acde0d9862ce7493745bdae;Apparatus and Hand;Surrealism;landscape;1927
59437.jpg;40f86d376acde0d9862ce7493745bdae;Untitled;Surrealism;portrait;1939
64410.jpg;40f86d376acde0d9862ce7493745bdae;Gala Contemplate Corpus Hypercubus;Realism;portrait;1954
42997.jpg;40f86d376acde0d9862ce7493745bdae;Invisible Sleeping Woman, Horse, Lion;Surrealism;symbolic painting;1930
17931.jpg;40f86d376acde0d9862ce7493745bdae;Seated Girl Seen from the Back;Realism;portrait;1928
66295.jpg;40f86d376acde0d9862ce7493745bdae;The Bread Basket;Realism;still life;1945
20598.jpg;40f86d376acde0d9862ce7493745bdae;The Colossus of Rhodes;Surrealism;mythological painting;1954
62382.jpg;40f86d376acde0d9862ce7493745bdae;Cadaques, seen from behind;Impressionism;landscape;1921
6442.jpg;40f86d376acde0d9862ce7493745bdae;Back the Girl;Realism;portrait;1926
41614.jpg;40f86d376acde0d9862ce7493745bdae;Couple with Clouds in Their Heads (Woman);Surrealism;figurative;1936
102046.jpg;40f86d376acde0d9862ce7493745bdae;William Tell;Surrealism;symbolic painting;1930
68396.jpg;40f86d376acde0d9862ce7493745bdae;Still Life with Two Lemons;Post-Impressionism;still life;c.1926
46806.jpg;40f86d376acde0d9862ce7493745bdae;Gradiva Finds the Anthropomorphic Ruins;Symbolism;figurative;1931
66850.jpg;40f86d376acde0d9862ce7493745bdae;The Virgin of Guadalupe;Surrealism;religious painting;1959
34741.jpg;40f86d376acde0d9862ce7493745bdae;Galarina;Realism;portrait;1945
88065.jpg;40f86d376acde0d9862ce7493745bdae;The Rotting Donkey;Surrealism;animal painting;1928
57274.jpg;40f86d376acde0d9862ce7493745bdae;Sad Barber of Good Times Cruelty;Surrealism;symbolic painting;1934
839.jpg;40f86d376acde0d9862ce7493745bdae;Battle of Tétouan;Surrealism;battle painting;1962
39432.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Jaume Miravidles as a Footballer;Expressionism;portrait;1922
66133.jpg;40f86d376acde0d9862ce7493745bdae;The Martyr;Surrealism;genre painting;1982
26222.jpg;40f86d376acde0d9862ce7493745bdae;Landscape with Mysterious Details;Surrealism;landscape;1934
27884.jpg;40f86d376acde0d9862ce7493745bdae;Marilyn Monroe;Surrealism;portrait;1972
29326.jpg;40f86d376acde0d9862ce7493745bdae;Set Design for the Ballet 'Los Sacos Del Molinero';Surrealism;design;1949
83138.jpg;40f86d376acde0d9862ce7493745bdae;Premature Ossification of a Railroad Station;Surrealism;symbolic painting;1930
79085.jpg;40f86d376acde0d9862ce7493745bdae;Invisible Man (Study for the Painting);Surrealism;sketch and study;1929
8920.jpg;40f86d376acde0d9862ce7493745bdae;Rocks on the Coast  Lyane;Realism;landscape;1926
88289.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of a Girl in a Landscape;Expressionism;portrait;c.1926
96274.jpg;40f86d376acde0d9862ce7493745bdae;Loneliness;Surrealism;symbolic painting;1931
87265.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Maria Carbona;Post-Impressionism;portrait;1925
100494.jpg;40f86d376acde0d9862ce7493745bdae;Illustration to the 'Songs of Maldoror' Isidore Ducasse, Count Lautréamont;Surrealism;illustration;1934
25568.jpg;40f86d376acde0d9862ce7493745bdae;Tuna Fishing;Surrealism;genre painting;1967
47637.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Anna  Maria;Expressionism;portrait;c.1924
5764.jpg;40f86d376acde0d9862ce7493745bdae;Girl from  the Ampurdan;Post-Impressionism;genre painting;1926
81144.jpg;40f86d376acde0d9862ce7493745bdae;Symbiosis Between the Head and Shell;Surrealism;landscape;1931
65604.jpg;40f86d376acde0d9862ce7493745bdae;Landscape of Cadaques;Expressionism;landscape;c.1923
8089.jpg;40f86d376acde0d9862ce7493745bdae;Singularities;Surrealism;symbolic painting;
62150.jpg;40f86d376acde0d9862ce7493745bdae;Still Life by Moonlight;Cubism;still life;1926
34163.jpg;40f86d376acde0d9862ce7493745bdae;Paranoiac-Astral Image;Surrealism;landscape;1934
50406.jpg;40f86d376acde0d9862ce7493745bdae;Slave Market with the Disappearing Bust of Voltaire;Surrealism;genre painting;1940
19896.jpg;40f86d376acde0d9862ce7493745bdae;Corrosive;Surrealism;symbolic painting;
93650.jpg;40f86d376acde0d9862ce7493745bdae;Desecration Descripti;Surrealism;symbolic painting;1929
50328.jpg;40f86d376acde0d9862ce7493745bdae;Paranoiac Visage;Surrealism;landscape;1935
91328.jpg;40f86d376acde0d9862ce7493745bdae;Bathers Of Llane;Pointillism;genre painting;
77692.jpg;40f86d376acde0d9862ce7493745bdae;Self-Portrait with Raphaelesque Neck;Post-Impressionism;self-portrait;1922
101039.jpg;40f86d376acde0d9862ce7493745bdae;The Bather;Surrealism;symbolic painting;1928
68697.jpg;40f86d376acde0d9862ce7493745bdae;Woman with Egg and Arrows;Surrealism;symbolic painting;c.1978
30150.jpg;40f86d376acde0d9862ce7493745bdae;Cavallo Metafisco;Surrealism;symbolic painting;
59496.jpg;40f86d376acde0d9862ce7493745bdae;The Chair (stereoscopic work, right component);Surrealism;figurative;1975
58889.jpg;40f86d376acde0d9862ce7493745bdae;Angel of Light;Symbolism;religious painting;1960
34328.jpg;40f86d376acde0d9862ce7493745bdae;Nike, Victory Goddess of Samothrace, Appears in a Tree Bathed in Light;Surrealism;mythological painting;c.1977
15783.jpg;40f86d376acde0d9862ce7493745bdae;Portrait of Luis Bunuel ;Post-Impressionism;portrait;1924
93036.jpg;40f86d376acde0d9862ce7493745bdae;The Kings Sword;Surrealism;portrait;
17476.jpg;40f86d376acde0d9862ce7493745bdae;Paranoic Metamorphosis of Gala's Face;Surrealism;sketch and study;1932
38096.jpg;40f86d376acde0d9862ce7493745bdae;Sheep;Surrealism;animal painting;1942
2961.jpg;40f86d376acde0d9862ce7493745bdae;Madonna;Expressionism;religious painting;1960
